TRAV_ID	ACT_TYPE	LINK	DES_ARR_TIME	NOTES
1	h	500	0	
1	h	2000	62738	
2	h	200	0	
2	h	2000	27550	
3	h	300	0	
3	h	2000	28800	
4	h	100	0	
4	h	2000	28800	
5	h	400	0	
5	h	1900	28800	
6	h	500	0	
6	h	2000	28800	
7	h	200	0	
7	h	1900	82800	
8	h	500	0	
8	h	1900	82464	
9	h	200	0	
9	h	1900	10398	
10	h	400	0	
10	h	1900	78874	
11	h	500	0	
11	h	2000	28800	
12	h	100	0	
12	h	2000	28800	
13	h	300	0	
13	h	2000	28800	
14	h	200	0	
14	h	1900	28800	
15	h	500	0	
15	h	2000	56770	
16	h	100	0	
16	h	2000	28800	
17	h	500	0	
17	h	1900	63947	
18	h	100	0	
18	h	2000	3068	
19	h	100	0	
19	h	1900	28800	
20	h	200	0	
20	h	1900	63033	
21	h	200	0	
21	h	1900	28800	
22	h	400	0	
22	h	2000	28800	
23	h	400	0	
23	h	2000	52556	
24	h	400	0	
24	h	2000	28800	
25	h	300	0	
25	h	1900	3944	
26	h	400	0	
26	h	2000	46645	
27	h	400	0	
27	h	1900	28800	
28	h	300	0	
28	h	2000	28800	
29	h	200	0	
29	h	1900	1417	
30	h	100	0	
30	h	1900	27147	
31	h	200	0	
31	h	2000	869	
32	h	100	0	
32	h	1900	28800	
33	h	500	0	
33	h	1900	28800	
34	h	100	0	
34	h	1900	82800	
35	h	100	0	
35	h	2000	28800	
36	h	400	0	
36	h	2000	55921	
37	h	400	0	
37	h	1900	32144	
38	h	500	0	
38	h	1900	82800	
39	h	300	0	
39	h	2000	60367	
40	h	200	0	
40	h	2000	28800	
41	h	400	0	
41	h	2000	20170	
42	h	400	0	
42	h	2000	22276	
43	h	300	0	
43	h	1900	28135	
44	h	300	0	
44	h	1900	43879	
45	h	400	0	
45	h	1900	28800	
46	h	300	0	
46	h	2000	55125	
47	h	200	0	
47	h	2000	28800	
48	h	500	0	
48	h	2000	28800	
49	h	500	0	
49	h	1900	18630	
50	h	300	0	
50	h	2000	28800	
51	h	100	0	
51	h	1900	28800	
52	h	500	0	
52	h	2000	28800	
53	h	400	0	
53	h	1900	28800	
54	h	500	0	
54	h	2000	16358	
55	h	100	0	
55	h	2000	28800	
56	h	300	0	
56	h	1900	28800	
57	h	300	0	
57	h	1900	22806	
58	h	500	0	
58	h	2000	28800	
59	h	200	0	
59	h	2000	28800	
60	h	100	0	
60	h	1900	28800	
61	h	300	0	
61	h	2000	9881	
62	h	300	0	
62	h	2000	28800	
63	h	500	0	
63	h	1900	28800	
64	h	400	0	
64	h	1900	41138	
65	h	200	0	
65	h	2000	75496	
66	h	400	0	
66	h	2000	28800	
67	h	200	0	
67	h	2000	28800	
68	h	200	0	
68	h	2000	9479	
69	h	300	0	
69	h	1900	55183	
70	h	500	0	
70	h	2000	28800	
71	h	400	0	
71	h	2000	5575	
72	h	400	0	
72	h	1900	28800	
73	h	100	0	
73	h	1900	28800	
74	h	200	0	
74	h	2000	18426	
75	h	200	0	
75	h	1900	28800	
76	h	300	0	
76	h	1900	16159	
77	h	400	0	
77	h	1900	28800	
78	h	500	0	
78	h	2000	28800	
79	h	300	0	
79	h	1900	82800	
80	h	100	0	
80	h	2000	28800	
81	h	400	0	
81	h	1900	28800	
82	h	500	0	
82	h	2000	28800	
83	h	400	0	
83	h	1900	23025	
84	h	500	0	
84	h	2000	28800	
85	h	500	0	
85	h	1900	28800	
86	h	100	0	
86	h	1900	28800	
87	h	200	0	
87	h	2000	28800	
88	h	100	0	
88	h	2000	82800	
89	h	300	0	
89	h	1900	28800	
90	h	500	0	
90	h	2000	10567	
91	h	500	0	
91	h	2000	23552	
92	h	100	0	
92	h	2000	59933	
93	h	500	0	
93	h	1900	77215	
94	h	500	0	
94	h	1900	28800	
95	h	200	0	
95	h	1900	63188	
96	h	300	0	
96	h	1900	28800	
97	h	400	0	
97	h	1900	56480	
98	h	500	0	
98	h	1900	41389	
99	h	200	0	
99	h	2000	28800	
100	h	500	0	
100	h	2000	15785	
